EN,EM,Description,Composition strategy,Attribute,generated_sentence
dark glass,👿,[':angry_face_with_horns:'],Single,COLOR,"""The dark glass reflected a sinister aura, as if something wicked lurked behind it."""
dark glass,🌃,[':night_with_stars:'],Single,COLOR,The city skyline sparkles at night like dark glass reflecting the stars.
dark glass,🕶️,[':sunglasses:'],Single,COLOR,"""These dark glasses protect my eyes from the bright sun."""
dark undercurrent,🕶️🌊,"[':sunglasses:', ':water_wave:']",Direct,EVIL,"""Behind the cool facade of the sunglasses lies a deep and turbulent undercurrent."""
dark undercurrent,⚫🌊,"[':black_circle:', ':water_wave:']",Direct,EVIL,The dark undercurrent of the ocean hides many secrets beneath its surface.
dark undercurrent,⚫️⛈,"[':black_circle:', '', ':cloud_with_lightning_and_rain:']",Direct,EVIL,The stormy weather brings a dark undercurrent of uncertainty and tension.
dark undercurrent,🌑🌊💦,"[':new_moon:', ':water_wave:', ':sweat_droplets:']",Direct,EVIL,The dark waters concealed hidden currents beneath the surface.
dark undercurrent,🌑🔞🌊,"[':new_moon:', ':no_one_under_eighteen:', ':water_wave:']",Direct,EVIL,"In the depths of the dark waters, hidden dangers lurk beneath the surface."
dark undercurrent,👿😱😨,"[':angry_face_with_horns:', ':face_screaming_in_fear:', ':fearful_face:']",Semantic list,EVIL,"The presence of a dark undercurrent instills fear and dread, leaving everyone feeling uneasy and terrified."
dark undercurrent,♠️👿,"[':spade_suit:', ':angry_face_with_horns:']",Metaphorical,EVIL,The dark undercurrent of evil intentions lurks beneath the surface.
dark undercurrent,😈📈,"[':smiling_face_with_horns:', ':chart_increasing:']",Metaphorical,EVIL,"""With a sinister agenda, the dark undercurrent of ambition drives the unexpected rise to power."""
dark corner,🕶️🗳️,"[':sunglasses:', ':ballot_box_with_ballot:']",Direct,LIGHT,"""While hiding in a dark corner, I put on my sunglasses and cast my vote."""
dark corner,⚫🧱,"[':black_circle:', ':brick:']",Direct,LIGHT,"In the dark corner of the room, a shadowy brick wall loomed ominously."
dark corner,🔦🚫🚫,"[':flashlight:', ':prohibited:', ':prohibited:']",Metaphorical,LIGHT,"""There's no light in the dark corner."""
dark corner,🌑❌💡,"[':new_moon:', ':cross_mark:', ':light_bulb:']",Metaphorical,LIGHT,The dark corner is devoid of light.
dark corner,🌑🏫🤫㊙️,"[':new_moon:', ':school:', ':shushing_face:', ':Japanese_secret_button:']",Metaphorical,LIGHT,"In the dark corner of the school, secrets are whispered quietly."
dark corner,😨👹,"[':fearful_face:', ':ogre:']",Metaphorical,LIGHT,"In the dark corner of the room, I felt a sense of dread as if a monster was lurking nearby."
dark corner,🌑🪃,"[':new_moon:', ':boomerang:']",Direct,LIGHT,"In the dark corner of the room, a lone figure sits quietly, hidden from view."
dark corner,🕶️🏠,"[':sunglasses:', ':house:']",Direct,LIGHT,"In the dark corner of the house, the sunglasses lay forgotten."
dark purpose,🕶️👿,"[':sunglasses:', ':angry_face_with_horns:']",Metaphorical,EVIL,"""With a sinister grin, he donned his sunglasses, ready to embrace his dark purpose."""
dark purpose,⚫😈,"[':black_circle:', ':smiling_face_with_horns:']",Metaphorical,EVIL,"In the shadows, a sinister plan unfolds, driven by dark purpose."
dark purpose,😈😈😈😈,"[':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL,"""With a mischievous grin, I embrace my dark purpose."""
dark purpose,🌑😵💀,"[':new_moon:', ':face_with_crossed-out_eyes:', ':skull:']",Metaphorical,EVIL,"In the depths of the night, a chilling fate awaits those who dare to pursue their dark purpose, leaving them feeling lost and lifeless."
dark purpose,😈❓🤷‍♀️,"[':smiling_face_with_horns:', ':red_question_mark:', ':woman_shrugging:']",Metaphorical,EVIL,"""Are you unsure about my dark intentions?"""
dark purpose,👿👹👺😏,"[':angry_face_with_horns:', ':ogre:', ':goblin:', ':smirking_face:']",Semantic list,EVIL,"With a mischievous grin, they plotted their dark purpose, reveling in the chaos they intended to unleash."
dark purpose,👿😈,"[':angry_face_with_horns:', ':smiling_face_with_horns:']",Reduplication,EVIL,"""Embracing a dark purpose, the mischievous spirit revels in chaos and mischief."""
dark purpose,🌑😈👹,"[':new_moon:', ':smiling_face_with_horns:', ':ogre:']",Metaphorical,EVIL,"In the shadows, a sinister plot unfolds as dark forces conspire for their wicked purpose."
right bank,👉🏞️,"[':backhand_index_pointing_right:', ':national_park:']",Direct,POSITION,"""Go to the right bank of the river to enjoy the beautiful landscape."""
right bank,👉🏦,"[':backhand_index_pointing_right:', ':bank:']",Direct,POSITION,"""Go to the bank on the right."""
right bank,➡️🏦💰,"[':right_arrow:', ':bank:', ':money_bag:']",Direct,POSITION,"""Go to the right bank to deposit your money."""
right bank,✅🏦,"[':check_mark_button:', ':bank:']",Direct,POSITION,"The checkmark indicates approval, and the bank represents a financial institution, so the sentence could be: ""The right bank has been approved."""
right bank,✔️🏦,"[':check_mark:', ':bank:']",Direct,POSITION,"""Everything is in order with the right bank."""
right bank,👉🏦,"[':backhand_index_pointing_right:', ':bank:']",Direct,POSITION,"""Please go to the right bank."""
right bank,👍🏦💰💰💰,"[':thumbs_up:', ':bank:', ':money_bag:', ':money_bag:', ':money_bag:']",Direct,POSITION,"""Giving a thumbs up to the right bank for helping me manage my money!"""
right bank,👍🏦💸💹,"[':thumbs_up:', ':bank:', ':money_with_wings:', ':chart_increasing_with_yen:']",Direct,POSITION,"""Choosing the right bank can lead to financial growth and smart investments."""
right hand,✋👉,"[':raised_hand:', ':backhand_index_pointing_right:']",Direct,POSITION,"""Raise your right hand and point forward."""
right hand,👉🖐,"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']",Direct,POSITION,"""Here is my right hand."""
right hand,➡️🖐,"[':right_arrow:', ':hand_with_fingers_splayed:']",Direct,POSITION,"""Raise your right hand."""
right hand,👉🖐,"[':backhand_index_pointing_right:', ':hand_with_fingers_splayed:']",Direct,POSITION,"""Here is my right hand."""
right hand,👉🤚,"[':backhand_index_pointing_right:', ':raised_back_of_hand:']",Direct,POSITION,"""Here is my right hand."""
right hand,👉👋,"[':backhand_index_pointing_right:', ':waving_hand:']",Direct,POSITION,The right hand is waving goodbye.
right hand,👉✔️,"[':backhand_index_pointing_right:', ':check_mark:']",Metaphorical,POSITION,The right hand gives a thumbs up.
right hand,🤲🤚,"[':palms_up_together:', ':raised_back_of_hand:']",Metaphorical,POSITION,"""Here is my right hand, open and ready to help."""
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION,"""Please look to the right side."""
right side,👉👉,"[':backhand_index_pointing_right:', ':backhand_index_pointing_right:']",Reduplication,POSITION,"""Move to the right side."""
right side,➡️💁‍♀️,"[':right_arrow:', ':woman_tipping_hand:']",Semantic list,POSITION,"""She is pointing to the right side."""
right side,👉🧍,"[':backhand_index_pointing_right:', ':person_standing:']",Metaphorical,POSITION,"""Stand to the right."""
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION,"""Please move to the right side."""
right side,👉,[':backhand_index_pointing_right:'],Single,POSITION,"""Please turn to the right side."""
right side,👤👉,"[':bust_in_silhouette:', ':backhand_index_pointing_right:']",Metaphorical,POSITION,"""Face this way to the right."""
right side,➡️🧑‍🤝‍🧑👈,"[':right_arrow:', ':people_holding_hands:', ':backhand_index_pointing_left:']",Metaphorical,POSITION,"""Move to the right side to join the group."""
right decision,✔️,[':check_mark:'],Single,CORRECTNESS,You made the right decision!
right decision,✔️💡👩👍,"[':check_mark:', ':light_bulb:', ':woman:', ':thumbs_up:']",Direct,CORRECTNESS,"""Making the right decision brings clarity and confidence."""
right decision,➡️🤝,"[':right_arrow:', ':handshake:']",Direct,CORRECTNESS,"""Making the right decision by joining forces."""
right decision,✅🧠,"[':check_mark_button:', ':brain:']",Direct,CORRECTNESS,Making the right decision involves using your brain effectively.
right decision,👍,[':thumbs_up:'],Single,CORRECTNESS,You've made the right decision!
right decision,✅,[':check_mark_button:'],Single,CORRECTNESS,You made the right decision!
right decision,🤔💭💡📈,"[':thinking_face:', ':thought_balloon:', ':light_bulb:', ':chart_increasing:']",Metaphorical,CORRECTNESS,"After careful consideration and brainstorming, I realized I was making the right decision that would lead to positive growth."
right decision,🤔✅,"[':thinking_face:', ':check_mark_button:']",Metaphorical,CORRECTNESS,"""After careful consideration, I made the right decision."""
right answer,✔️,[':check_mark:'],Single,CORRECTNESS,The answer is correct!
right answer,✔️📄✍️,"[':check_mark:', ':page_facing_up:', ':writing_hand:']",Direct,CORRECTNESS,"""Marking the document with a check indicates the correct answer."""
right answer,➡️✍️✅,"[':right_arrow:', ':writing_hand:', ':check_mark_button:']",Direct,CORRECTNESS,"""Write down the correct answer."""
right answer,✅📝,"[':check_mark_button:', ':memo:']",Direct,CORRECTNESS,You got the right answer!
right answer,💯,[':hundred_points:'],Single,CORRECTNESS,You got it right!
right answer,✅,[':check_mark_button:'],Single,CORRECTNESS,The answer is correct!
right answer,🤔❓📝💡✏️✔️,"[':thinking_face:', ':red_question_mark:', ':memo:', ':light_bulb:', ':pencil:', ':check_mark:']",Metaphorical,CORRECTNESS,"The right answer comes from thoughtful questioning, taking notes, and having a bright idea before confirming it with a checkmark."
right answer,🙋‍♀️👍✅,"[':woman_raising_hand:', ':thumbs_up:', ':check_mark_button:']",Metaphorical,CORRECTNESS,The woman raised her hand to indicate that she has the correct answer.
right man,✔️👨,"[':check_mark:', ':man:']",Direct,APPROPRIATENESS,"""The right man has been chosen."""
right man,✔️👨💕,"[':check_mark:', ':man:', ':two_hearts:']",Direct,APPROPRIATENESS,"""The right man is someone who truly loves you."""
right man,➡️👨👌,"[':right_arrow:', ':man:', ':OK_hand:']",Direct,APPROPRIATENESS,The right man is here.
right man,👍🕴️,"[':thumbs_up:', ':person_in_suit_levitating:']",Direct,APPROPRIATENESS,The right man for the job is someone who is confident and ready to take on any challenge.
right man,👍👨,"[':thumbs_up:', ':man:']",Direct,APPROPRIATENESS,The right man gives a thumbs up.
right man,👉👱🏻‍♂️,"[':backhand_index_pointing_right:', ':man_light_skin_tone_blond_hair:']",Direct,APPROPRIATENESS,The man with light brown hair is pointing to the right.
right man,👩😍👨✔️,"[':woman:', ':smiling_face_with_heart-eyes:', ':man:', ':check_mark:']",Metaphorical,APPROPRIATENESS,The woman is in love with the right man.
right man,👩‍❤️‍💋‍👨👨‍👩‍👦‍👦,"[':kiss_woman_man:', ':family_man_woman_boy_boy:']",Metaphorical,APPROPRIATENESS,The right man brings love and happiness to a family.
right road,👉🛣️,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS,Take the right road.
right road,👉🛣️,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS,"""Take the right road ahead."""
right road,➡️🛣️,"[':right_arrow:', ':motorway:']",Direct,CORRECTNESS,"""Take the right road ahead."""
right road,✅🛣️,"[':check_mark_button:', ':motorway:']",Direct,CORRECTNESS,You are on the right road.
right road,✔️🛣️,"[':check_mark:', ':motorway:']",Direct,CORRECTNESS,You are on the right path.
right road,👉🛣,"[':backhand_index_pointing_right:', ':motorway:']",Direct,CORRECTNESS,"""Take the right road."""
right road,🚗🛣️✔️,"[':automobile:', ':motorway:', ':check_mark:']",Direct,CORRECTNESS,"""You're on the right road!"""
right road,🛣️↗️,"[':motorway:', ':up-right_arrow:']",Metaphorical,CORRECTNESS,"""Take the right road ahead."""
right thing,✔️,[':check_mark:'],Single,RIGHTNESS,"""Doing the right thing always brings a sense of accomplishment."""
right thing,✔️👍,"[':check_mark:', ':thumbs_up:']",Metaphorical,RIGHTNESS,"""That's the right thing to do!"""
right thing,➡️💯,"[':right_arrow:', ':hundred_points:']",Metaphorical,RIGHTNESS,"""Doing the right thing always leads to success."""
right thing,👍✅,"[':thumbs_up:', ':check_mark_button:']",Metaphorical,RIGHTNESS,You did the right thing!
right thing,👍,[':thumbs_up:'],Single,RIGHTNESS,"""Doing the right thing earns a thumbs up!"""
right thing,💯,[':hundred_points:'],Single,RIGHTNESS,"""Doing the right thing is always a perfect score!"""
right thing,🗣️✔️,"[':speaking_head:', ':check_mark:']",Metaphorical,RIGHTNESS,Speaking up is the right thing to do.
right thing,😀👍,"[':grinning_face:', ':thumbs_up:']",Metaphorical,RIGHTNESS,"""Doing the right thing always brings a smile and a thumbs up!"""
short holiday,🩳🏖,"[':shorts:', ':beach_with_umbrella:']",Direct,DURATION,"""Time to relax on a short holiday at the beach in my swim trunks!"""
short holiday,🥲🤏✈️⛩️,"[':smiling_face_with_tear:', ':pinching_hand:', ':airplane:', ':shinto_shrine:']",Metaphorical,DURATION,"""Taking a short holiday to a beautiful temple."""
short holiday,⏳🏖️✈️🧳,"[':hourglass_not_done:', ':beach_with_umbrella:', ':airplane:', ':luggage:']",Direct,DURATION,"""Time to pack my suitcase for a short holiday at the beach!"""
short holiday,⌛🏖,"[':hourglass_done:', ':beach_with_umbrella:']",Direct,DURATION,"""Time for a short holiday at the beach!"""
short holiday,↔️🏝️🍾💆🧖🧘,"[':left-right_arrow:', ':desert_island:', ':bottle_with_popping_cork:', ':person_getting_massage:', ':person_in_steamy_room:', ':person_in_lotus_position:']",Metaphorical,DURATION,"""Enjoy a relaxing short holiday on the island, sipping champagne and indulging in spa treatments while meditating."""
short holiday,🤏🏖️,"[':pinching_hand:', ':beach_with_umbrella:']",Direct,DURATION,"""Just a quick getaway to the beach!"""
short holiday,🤏🧳🛄,"[':pinching_hand:', ':luggage:', ':baggage_claim:']",Metaphorical,DURATION,"""Pack lightly for a quick getaway!"""
short holiday,🛫🛬,"[':airplane_departure:', ':airplane_arrival:']",Metaphorical,DURATION,"""I'm excited to take a short holiday and enjoy some time away!"""
short ration,🩳🍚,"[':shorts:', ':cooked_rice:']",Direct,QUANTITY,"""With just a pair of shorts and a small serving of rice, I’m making do with a short ration."""
short ration,🤏🍠🍞🥚,"[':pinching_hand:', ':roasted_sweet_potato:', ':bread:', ':egg:']",Direct,QUANTITY,"""Just a small portion of sweet potato, bread, and an egg for my meal."""
short ration,🤏🥔🍠🍚,"[':pinching_hand:', ':potato:', ':roasted_sweet_potato:', ':cooked_rice:']",Direct,QUANTITY,"""Just a tiny portion of potatoes, sweet potatoes, and rice for my short ration."""
short ration,❎🥘,"[':cross_mark_button:', ':shallow_pan_of_food:']",Direct,QUANTITY,"""There's not enough food to go around."""
short ration,⏬🍚🍜,"[':fast_down_button:', ':cooked_rice:', ':steaming_bowl:']",Direct,QUANTITY,"""Here's a small portion of rice and noodles."""
